SALES,ROCE,FFTL,GEAR,CLTA,CACL,QACL,WCTA,LAG,AGE,CHAUD,BIG6
3601,-30.779,-0.3283,0.7444,0.7444,1.1202,0.3757,0.0895,243,5,1,1
8393,-5.4902,0.0619,0.8307,0.732,0.9182,0.8027,-0.0599,301,14,0,0
99520,-7.1057,-0.0101,0.6495,0.1538,1.5268,1.2591,0.081,117,13,1,1
3514,-16.803,-0.1064,1.1831,1.1831,0.7944,0.6491,-0.2432,183,6,0,1
3310,6.7887,0.4796,0.5074,0.3426,1.4407,1.3364,0.151,191,51,0,0
37415,-8.3372,-0.026,0.7883,0.7883,0.7976,0.5631,-0.1596,147,40,0,1
5566,-9.4513,-0.0179,0.7722,0.6596,0.7774,0.4643,-0.1468,293,11,0,1
13909,-1.4262,0.0642,0.689,0.5916,0.9457,0.312,-0.0321,179,74,0,0
3981,-3.6023,0.0333,0.7144,0.5261,0.816,0.6391,-0.0968,283,32,0,0
4999,1.676,0.0565,0.9994,0.7112,1.1862,0.7188,0.1324,207,2,1,1
6336,4.4826,0.1305,0.7355,0.6198,1.0993,0.4721,0.0616,160,16,0,1
5814,8.0062,0.3611,0.4034,0.4034,1.5611,1.2662,0.2263,264,33,0,1
2859,-3.5788,0.0341,0.639,0.5742,1.3541,1.2728,0.2033,301,24,0,0
28145,0.5269,0.0856,0.9049,0.8618,0.742,0.4457,-0.2223,153,8,1,1
7864,1.7552,0.1238,0.7569,0.6965,0.5044,0.4414,-0.3452,117,24,0,0
103541,14.2607,0.2153,0.7412,0.7412,1.1223,0.7921,0.0906,304,28,1,1
